mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
46.5967791557312,1.0063539131686037,0.0404606819152832,0.007987080973225365,9,10,4,5,"{'max_depth': 9, 'max_leaf_nodes': 10, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
46.84729838371277,0.7458489971776737,0.03826375007629394,0.003878836546774364,9,10,4,10,"{'max_depth': 9, 'max_leaf_nodes': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
146.69890389442443,1.6096568416128172,0.026053190231323242,0.004591453193006003,9,,1,2,"{'max_depth': 9, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.2908,0.2866,0.2872,0.2947,0.2922,0.2903,0.003050245891727419,7
145.38095951080322,1.9770866461658003,0.030774688720703124,0.006000370739518572,9,,1,5,"{'max_depth': 9, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.2903,0.2867,0.2866,0.2949,0.2925,0.29019999999999996,0.0032434549480453603,9
145.79156455993652,1.8763534302335794,0.03430805206298828,0.007849162037364524,9,,1,10,"{'max_depth': 9, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.291,0.2871,0.2875,0.2948,0.2924,0.29056000000000004,0.002928890574944718,2
144.32281107902526,1.8561026828115283,0.031237316131591798,0.007562334762055107,9,,2,2,"{'max_depth': 9, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.2911,0.2866,0.2866,0.2949,0.2927,0.29037999999999997,0.0033138497250177097,4
143.56327333450318,1.6394633375097956,0.0355567455291748,0.010343678069137717,9,,2,5,"{'max_depth': 9, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.2907,0.2871,0.2878,0.295,0.2923,0.29058,0.002910257720546403,1
144.71465888023377,2.5713855432346024,0.0320624828338623,0.006398778859244914,9,,2,10,"{'max_depth': 9, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.2908,0.287,0.2866,0.2948,0.2924,0.29032,0.0031460451363577104,6
143.89003500938415,1.4948749046602805,0.03409552574157715,0.007660544143360772,9,,4,2,"{'max_depth': 9, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.2903,0.2868,0.287,0.2949,0.2925,0.29029999999999995,0.0031349641146271525,8
145.0717209815979,1.6780979418001898,0.04513082504272461,0.005835623929807019,9,,4,5,"{'max_depth': 9, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.2906,0.2866,0.287,0.2952,0.2925,0.29038,0.003270718575481544,3
143.210214138031,0.7662301880850594,0.04645347595214844,0.006687489152564921,9,,4,10,"{'max_depth': 9, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.2911,0.2866,0.2873,0.2947,0.292,0.29034000000000004,0.0030190064590855043,5
29.801715564727782,0.8440867613471346,0.03063044548034668,0.0024263761248809017,12,5,1,2,"{'max_depth': 12, 'max_leaf_nodes': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
29.571880912780763,0.6303821498751488,0.026588010787963866,0.005583395339913338,12,5,1,5,"{'max_depth': 12, 'max_leaf_nodes': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
30.268682432174682,0.6619975714263646,0.02664670944213867,0.0038371779848106235,12,5,1,10,"{'max_depth': 12, 'max_leaf_nodes': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
31.364803504943847,1.0445973863038156,0.043165063858032225,0.005267524208162473,12,5,2,2,"{'max_depth': 12, 'max_leaf_nodes': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
32.90778913497925,0.9074439605017623,0.03713569641113281,0.004196617282744026,12,5,2,5,"{'max_depth': 12, 'max_leaf_nodes': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
33.11732664108276,0.751300051293327,0.04131193161010742,0.007821875853152398,12,5,2,10,"{'max_depth': 12, 'max_leaf_nodes': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
32.48074359893799,0.9345846771167626,0.04371356964111328,0.006169434168730177,12,5,4,2,"{'max_depth': 12, 'max_leaf_nodes': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
33.461777973175046,0.8389119485955198,0.044896268844604494,0.007001437547766553,12,5,4,5,"{'max_depth': 12, 'max_leaf_nodes': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
33.076904964447024,1.0783630445195567,0.036137628555297854,0.005442321172023712,12,5,4,10,"{'max_depth': 12, 'max_leaf_nodes': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
47.760410118103025,1.075329806685913,0.03308424949645996,0.005688668913333404,12,10,1,2,"{'max_depth': 12, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
47.05910110473633,1.0685172686426145,0.03598132133483887,0.0035111079264918982,12,10,1,5,"{'max_depth': 12, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
46.823781204223636,0.793778573147618,0.04119639396667481,0.005700822251436928,12,10,1,10,"{'max_depth': 12, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
46.788156843185426,0.9828916248542858,0.04229440689086914,0.00759141229266271,12,10,2,2,"{'max_depth': 12, 'max_leaf_nodes': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
46.5720917224884,0.6831545662281499,0.037507247924804685,0.004119206197400902,12,10,2,5,"{'max_depth': 12, 'max_leaf_nodes': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
47.0652530670166,1.2556471245076346,0.03486189842224121,0.0076221780422298996,12,10,2,10,"{'max_depth': 12, 'max_leaf_nodes': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
